title,author,length
1. Atomic Habits,Written by: James Clear,Length: 5 hrs and 35 mins
2. How to Talk to Anyone,Written by: Leil Lowndes,Length: 8 hrs and 59 mins
3. The Psychology of Money,Written by: Morgan Housel,Length: 5 hrs and 55 mins
4. Ikigai,"Written by: Héctor García, Francesc Miralles",Length: 3 hrs and 23 mins
5. Don't Believe Everything You Think,Written by: Joseph Nguyen,Length: 2 hrs and 16 mins
6. The Power of Your Subconscious Mind,Written by: Joseph Murphy,Length: 7 hrs and 13 mins
7. Sapiens,Written by: Yuval Noah Harari,Length: 15 hrs and 18 mins
"8. Thinking, Fast and Slow",Written by: Daniel Kahneman,Length: 20 hrs and 4 mins
9. The Courage to Be Disliked ,"Written by: Fumitake Koga, Ichiro Kishimi",Length: 6 hrs and 50 mins
10. Rich Dad Poor Dad,Written by: Robert T. Kiyosaki,Length: 6 hrs and 9 mins
11. The 48 Laws of Power,Written by: Robert Greene,Length: 9 hrs and 52 mins
12. The Subtle Art of Not Giving a F*ck,Written by: Mark Manson,Length: 5 hrs and 17 mins
13. Inner Engineering,Written by: Sadhguru,Length: 9 hrs and 3 mins
14. Hyperfocus,Written by: Chris Bailey,Length: 6 hrs and 39 mins
15. The Intelligent Investor Rev Ed.,Written by: Benjamin Graham,Length: 17 hrs and 48 mins
16. Dopamine Detox,Written by: Thibaut Meurisse,Length: 1 hr and 5 mins
17. Can't Hurt Me,Written by: David Goggins,Length: 13 hrs and 37 mins
18. Zero to One,"Written by: Peter Thiel, Blake Masters",Length: 4 hrs and 50 mins
19. Chanakya Neeti,Written by: Acharya Chanakya,Length: 5 hrs and 2 mins
20. The Almanack of Naval Ravikant,"Written by: Eric Jorgenson, Tim Ferriss",Length: 4 hrs and 53 mins
21. Never Split the Difference,"Written by: Chris Voss, Tahl Raz",Length: 8 hrs and 7 mins
22. 12 Rules for Life,Written by: Jordan B. Peterson,Length: 15 hrs and 56 mins
23. The 5 AM Club,Written by: Robin Sharma,Length: 11 hrs and 4 mins
24. The Happiness Advantage,Written by: Shawn Achor,Length: 7 hrs and 19 mins
"25. Harry Potter and the Philosopher's Stone, Book 1",Written by: J.K. Rowling,Length: 8 hrs and 25 mins
26. Autobiography of a Yogi,Written by: Paramahansa Yogananda,Length: 17 hrs and 49 mins
27. Think and Grow Rich,Written by: Napoleon Hill,Length: 10 hrs and 15 mins
28. Slow Productivity,Written by: Cal Newport,Length: 6 hrs and 18 mins
29. The Power of Now,Written by: Eckhart Tolle,Length: 7 hrs and 37 mins
30. The Art of Seduction,Written by: Robert Greene,Length: 5 hrs and 9 mins
31. Same as Ever,Written by: Morgan Housel,Length: 5 hrs and 46 mins
32. Feel-Good Productivity,Written by: Ali Abdaal,Length: 5 hrs and 30 mins
33. Life's Amazing Secrets,Written by: Gaur Gopal Das,Length: 6 hrs and 25 mins
"34. Harry Potter and the Goblet of Fire, Book 4",Written by: J.K. Rowling,Length: 20 hrs and 54 mins
35. Make Epic Money,Written by: Ankur Warikoo,Length: 4 hrs and 2 mins
36. Poor Charlie’s Almanack,Written by: Charles T. Munger,Length: 13 hrs and 9 mins
37. Let's Talk Mutual Funds,Written by: Monika Halan,Length: 7 hrs and 5 mins
38. The Alchemist,Written by: Paulo Coelho,Length: 4 hrs
