title,author,length
Enchanting Exposition,By: Alice Winters,Length: 8 hrs and 43 mins
The Knight,By: Will Wight,Length: Not Yet Known
Defiance of the Fall 13,"By: TheFirstDefier, JF Brink",Length: 24 hrs and 35 mins
He Who Fights with Monsters 11: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 36 mins
Iron Flame (Part 2 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 11 hrs
Bonded in Death,By: J. D. Robb,Length: 10 hrs and 30 mins
The Legend of Randidly Ghosthound 7,"By: Noret Flood, puddles4263",Length: 27 hrs and 53 mins
The Diva Goes Overboard,By: Krista Davis,Length: 8 hrs and 1 min
Throne World,By: B.V. Larson,Length: 12 hrs and 29 mins
A Leaner Meaner Midlife,By: Robyn Peterman,Length: 4 hrs and 25 mins
Lord of the Dragon Riders,"By: Turner Tellborn, Marcus Sloss",Length: 12 hrs and 59 mins
Dungeon Diving 201,By: Bruce Sentar,Length: 11 hrs and 41 mins
The Fall of Cadia,By: Robert Rath,Length: 19 hrs and 51 mins
Eyes Tight Shut,By: D.K. Hood,Length: 8 hrs and 41 mins
An Assassination on the Agenda,By: T E Kinsey,Length: 8 hrs and 56 mins
Mandate of Heaven,By: Selkie Myth,Length: 22 hrs and 56 mins
See No Evil,By: Victoria Laurie,Length: 10 hrs and 39 mins
Recon,By: Craig Alanson,Length: 16 hrs and 26 mins
How to Tell the Truth,"By: Preston Perry, Jackie Hill Perry",Length: 4 hrs and 52 mins
Joyful Recollections of Trauma,By: Paul Scheer,Length: 6 hrs and 38 mins
